epoch,accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.12713630497455597,5.128764629364014,0.33597332239151,0.1847507357597351,2.3920226097106934,0.44086021184921265
Stage2-FineTune,1,1.0100,0.9880,0.8316,0.8856,0.9714,0.9785,1.67e-05
Stage2-FineTune,2,0.9467,0.9253,0.8560,0.8993,0.9821,0.9834,3.33e-05
Stage1-Head,1,1.8327,1.2276,0.5419,0.8016,0.7851,0.9550,1.00e-03
Stage1-Head,1,1.8496,1.2196,0.5358,0.8016,0.7964,0.9560,1.00e-03
Stage1-Head,2,1.2526,1.1033,0.7176,0.8201,0.9256,0.9677,2.00e-03
Stage1-Head,3,1.2210,1.1491,0.7282,0.7810,0.9318,0.9560,3.00e-03
Stage1-Head,4,1.2450,1.1215,0.7190,0.8094,0.9289,0.9648,2.97e-03
Stage1-Head,5,1.2108,1.1083,0.7305,0.8172,0.9393,0.9570,2.90e-03
Stage1-Head,6,1.1999,1.1132,0.7388,0.8162,0.9375,0.9677,2.78e-03
Stage1-Head,7,1.1720,1.1046,0.7603,0.8221,0.9477,0.9648,2.61e-03
Stage1-Head,8,1.1556,1.0682,0.7659,0.8426,0.9481,0.9844,2.40e-03
Stage1-Head,9,1.1437,1.0700,0.7676,0.8485,0.9477,0.9785,2.17e-03
Stage1-Head,10,1.1295,1.0589,0.7726,0.8407,0.9544,0.9775,1.91e-03
Stage1-Head,11,1.1176,1.0437,0.7793,0.8465,0.9523,0.9756,1.64e-03
Stage1-Head,12,1.0939,1.0570,0.7937,0.8416,0.9606,0.9775,1.36e-03
Stage1-Head,13,1.0851,1.0353,0.7947,0.8514,0.9573,0.9804,1.09e-03
Stage1-Head,14,1.0561,1.0327,0.8053,0.8514,0.9650,0.9697,8.31e-04
Stage1-Head,15,1.0553,1.0175,0.8053,0.8563,0.9656,0.9785,5.96e-04
Stage1-Head,16,1.0485,1.0062,0.8174,0.8641,0.9633,0.9804,3.91e-04
Stage1-Head,17,1.0386,1.0004,0.8160,0.8631,0.9681,0.9795,2.25e-04
Stage1-Head,18,1.0453,1.0037,0.8101,0.8622,0.9658,0.9795,1.01e-04
Stage1-Head,19,1.0341,1.0070,0.8149,0.8671,0.9689,0.9804,2.55e-05
Stage1-Head,20,1.0202,1.0031,0.8231,0.8661,0.9692,0.9795,3.00e-10
Stage2-FineTune,1,1.0106,0.9908,0.8295,0.8788,0.9744,0.9804,1.67e-05
Stage2-FineTune,2,0.9398,0.9240,0.8624,0.9052,0.9840,0.9853,3.33e-05
Stage2-FineTune,3,0.8921,0.8890,0.8797,0.9130,0.9852,0.9863,5.00e-05
Stage2-FineTune,4,0.8436,0.8631,0.9033,0.9198,0.9887,0.9863,4.99e-05
Stage2-FineTune,5,0.7961,0.8481,0.9264,0.9218,0.9937,0.9863,4.96e-05
